Stimulus,Observer,Observer age,Nominal contrast [%],Luminance [cd/m2],Irradiance [sc td],[log10 sc td],Irradiance [ph td],[log10 ph td],x chromaticity,y chromaticity,L contrast [%],M contrast [%],S contrast [%],Melanopsin contrast [%],Rod contrast [%],LMS contrast [%],L-M contrast [%]
Mel,MELA_0026,29,400.00,59.76,1253.38,3.10,3003.91,3.48,0.55,0.41,0.14,0.65,-3.85,400.30,239.51,0.39,-0.25
LMS,MELA_0026,29,400.00,26.24,1664.17,3.22,1318.86,3.12,0.57,0.37,400.92,398.89,410.85,0.30,60.37,0.39,-0.25
Mel,MELA_0037,30,400.00,56.77,1189.61,3.08,2853.62,3.46,0.55,0.41,-0.09,-0.18,-2.75,402.83,236.75,-0.14,0.05
LMS,MELA_0037,30,400.00,22.49,1446.38,3.16,1130.52,3.05,0.57,0.37,400.58,399.14,401.75,-0.43,60.53,-0.14,0.05
Mel,MELA_0038,34,400.00,62.28,1308.34,3.12,3130.70,3.50,0.55,0.41,-0.15,0.08,-3.32,399.08,236.31,-0.03,-0.12
LMS,MELA_0038,34,400.00,27.42,1745.35,3.24,1378.34,3.14,0.57,0.38,399.30,397.19,406.52,0.75,60.62,-0.03,-0.12
Mel,MELA_0043,31,400.00,49.86,1048.48,3.02,2506.42,3.40,0.55,0.41,-0.25,-0.58,-1.11,397.95,233.50,-0.42,0.17
LMS,MELA_0043,31,400.00,19.55,1252.16,3.10,982.49,2.99,0.57,0.37,402.84,403.97,394.92,-0.29,62.14,-0.42,0.17
Mel,MELA_0049,20,400.00,69.23,1462.30,3.17,3479.93,3.54,0.55,0.41,-0.33,-0.17,-2.85,396.38,236.76,-0.25,-0.08
LMS,MELA_0049,20,400.00,27.05,1751.49,3.24,1359.54,3.13,0.57,0.37,398.51,396.81,406.07,-0.38,58.18,-0.25,-0.08
Mel,MELA_0050,21,400.00,61.56,1298.23,3.11,3094.17,3.49,0.55,0.41,0.46,0.04,-0.36,402.16,238.07,0.25,0.21
LMS,MELA_0050,21,400.00,24.23,1560.28,3.19,1218.04,3.09,0.57,0.37,398.55,398.80,396.05,-0.16,59.37,0.25,0.21
Mel,MELA_0073,27,400.00,49.33,1038.17,3.02,2479.50,3.39,0.55,0.41,-0.20,-0.45,0.52,401.58,236.10,-0.33,0.12
LMS,MELA_0073,27,400.00,19.46,1250.22,3.10,978.28,2.99,0.57,0.37,400.40,401.14,391.46,-0.39,60.80,-0.33,0.12
Mel,MELA_0074,30,400.00,52.78,1113.78,3.05,2653.19,3.42,0.55,0.41,0.25,0.54,-0.90,398.01,237.17,0.40,-0.14
LMS,MELA_0074,30,400.00,23.27,1476.31,3.17,1169.52,3.07,0.57,0.37,400.57,398.76,391.26,-0.21,60.41,0.40,-0.14
Mel,MELA_0075,20,400.00,66.61,1443.46,3.16,3347.99,3.52,0.55,0.41,0.08,0.09,-0.60,376.51,225.72,0.09,-0.01
LMS,MELA_0075,20,400.00,26.47,1694.27,3.23,1330.57,3.12,0.57,0.37,397.93,398.45,394.41,5.25,65.21,0.09,-0.01
Mel,MELA_0077,33,400.00,60.48,1265.10,3.10,3040.03,3.48,0.55,0.41,-0.31,-0.46,-6.02,399.98,234.82,-0.38,0.07
LMS,MELA_0077,33,400.00,24.13,1551.50,3.19,1212.87,3.08,0.57,0.38,400.37,399.01,411.09,0.35,61.63,-0.38,0.07
Mel,MELA_0079,23,400.00,58.60,1248.06,3.10,2945.65,3.47,0.55,0.41,-0.62,-0.73,-0.93,396.70,236.08,-0.68,0.06
LMS,MELA_0079,23,400.00,24.81,1575.50,3.20,1247.21,3.10,0.57,0.37,402.34,402.75,396.79,0.50,60.92,-0.68,0.06
Mel,MELA_0080,24,400.00,54.65,1151.21,3.06,2746.85,3.44,0.55,0.41,-0.25,-0.43,-1.18,399.71,236.51,-0.34,0.09
LMS,MELA_0080,24,400.00,21.55,1388.12,3.14,1083.34,3.03,0.57,0.37,400.77,402.06,397.88,-0.08,60.71,-0.34,0.09
Mel,MELA_0081,22,400.00,59.04,1239.81,3.09,2967.71,3.47,0.55,0.41,-0.21,-0.29,-2.66,403.30,239.22,-0.25,0.04
LMS,MELA_0081,22,400.00,23.22,1497.94,3.18,1167.15,3.07,0.57,0.37,400.24,399.24,404.83,-0.97,58.47,-0.25,0.04
Mel,MELA_0082,33,400.00,59.45,1249.07,3.10,2988.11,3.48,0.55,0.41,-0.03,0.02,-2.46,400.71,236.33,-0.00,-0.03
LMS,MELA_0082,33,400.00,26.37,1673.42,3.22,1325.53,3.12,0.57,0.38,402.19,401.21,401.71,0.64,61.80,-0.00,-0.03
Mel,MELA_0087,28,400.00,54.86,1149.51,3.06,2757.59,3.44,0.55,0.41,-0.33,-0.10,-1.92,400.30,237.86,-0.22,-0.12
LMS,MELA_0087,28,400.00,24.09,1525.66,3.18,1210.65,3.08,0.57,0.37,401.27,400.30,396.02,-0.05,60.48,-0.22,-0.12
Mel,MELA_0088,27,400.00,57.54,1231.31,3.09,2892.16,3.46,0.55,0.41,-0.49,-0.01,-0.51,398.82,237.30,-0.25,-0.24
LMS,MELA_0088,27,400.00,24.42,1566.47,3.19,1227.34,3.09,0.56,0.37,401.69,399.51,390.68,-0.41,60.00,-0.25,-0.24
Mel,MELA_0089,26,400.00,58.68,1234.13,3.09,2949.48,3.47,0.55,0.41,-0.01,0.16,-2.40,398.18,238.25,0.07,-0.08
LMS,MELA_0089,26,400.00,25.82,1636.48,3.21,1297.87,3.11,0.57,0.37,400.30,399.54,395.64,-0.30,59.84,0.07,-0.08
Mel,MELA_0090,22,400.00,54.21,1140.62,3.06,2725.01,3.44,0.55,0.41,-0.08,-0.26,-0.69,402.63,238.41,-0.17,0.09
LMS,MELA_0090,22,400.00,21.31,1372.90,3.14,1071.15,3.03,0.57,0.37,400.07,400.65,395.39,-0.56,59.54,-0.17,0.09
Mel,MELA_0094,27,400.00,57.84,1210.77,3.08,2907.51,3.46,0.55,0.41,0.02,0.35,-1.20,403.35,239.34,0.18,-0.17
LMS,MELA_0094,27,400.00,22.80,1465.90,3.17,1145.85,3.06,0.57,0.37,399.51,397.45,402.38,-0.66,59.32,0.18,-0.17
Mel,MELA_0096,26,400.00,50.43,1076.32,3.03,2534.64,3.40,0.55,0.41,-0.12,0.36,-0.92,398.18,238.35,0.12,-0.24
LMS,MELA_0096,26,400.00,21.30,1361.13,3.13,1070.57,3.03,0.57,0.37,398.30,394.13,392.36,-1.33,57.52,0.12,-0.24
