Wavelength [nm],Background nominal [29 yrs],Modulation nominal [400% 29 yrs],Background validated [32 yrs],Modulation validated [400% 32 yrs]
380,1.1561e-05,5.2099e-05,8.9526e-06,4.102e-05
382,1.611e-05,4.8938e-05,9.1464e-06,3.6624e-05
384,1.361e-05,5.5494e-05,9.4508e-06,3.825e-05
386,1.3627e-05,5.0567e-05,8.613e-06,3.9002e-05
388,1.3203e-05,4.7232e-05,8.5054e-06,3.9444e-05
390,1.3855e-05,5.1849e-05,8.3726e-06,3.53e-05
392,1.2468e-05,4.7272e-05,8.4834e-06,3.3386e-05
394,1.01e-05,5.0122e-05,8.4088e-06,3.4544e-05
396,1.1906e-05,4.3361e-05,1.0315e-05,2.9416e-05
398,1.0886e-05,4.1477e-05,1.0067e-05,3.5108e-05
400,8.8545e-06,3.4855e-05,1.3045e-05,3.704e-05
402,7.5658e-06,3.5614e-05,1.9594e-05,4.3874e-05
404,8.6974e-06,3.85e-05,2.8242e-05,5.5668e-05
406,9.8553e-06,4.6825e-05,3.9544e-05,7.1424e-05
408,1.7315e-05,7.6008e-05,5.4046e-05,0.00010206
410,2.6872e-05,0.0001293,7.5348e-05,0.00015478
412,5e-05,0.00023475,0.00010439,0.00024668
414,7.2409e-05,0.00038576,0.00013075,0.000375
416,9.4366e-05,0.00057814,0.00014818,0.0005366
418,0.00011682,0.0008442,0.00015984,0.00075698
420,0.00013714,0.0011698,0.00017043,0.0010251
422,0.0001523,0.0015295,0.00017927,0.0013198
424,0.00015785,0.0018885,0.00018338,0.0016267
426,0.00014868,0.0022292,0.00017425,0.0019259
428,0.00011653,0.0024477,0.0001449,0.002146
430,8.1724e-05,0.0025247,0.00010489,0.002252
432,5.5506e-05,0.0024774,6.7172e-05,0.0022426
434,4.24e-05,0.0023358,4.4946e-05,0.002141
436,3.7127e-05,0.0021192,3.7196e-05,0.0019641
438,4.0453e-05,0.0018449,3.642e-05,0.0017226
440,4.2819e-05,0.0014852,3.743e-05,0.0014001
442,4.6689e-05,0.0010771,3.9204e-05,0.001017
444,5.0094e-05,0.00074639,4.081e-05,0.00070974
446,5.4218e-05,0.0005198,4.3132e-05,0.0004892
448,5.8259e-05,0.00038867,4.6884e-05,0.0003537
450,6.4563e-05,0.00031318,5.1568e-05,0.00027152
452,6.9005e-05,0.0002723,5.5228e-05,0.0002236
454,7.2884e-05,0.00025343,5.7004e-05,0.00020242
456,7.8399e-05,0.00025876,6.0788e-05,0.0001992
458,8.5022e-05,0.00026954,6.6484e-05,0.00020998
460,9.4109e-05,0.00028453,7.2868e-05,0.00022134
462,0.0001038,0.00029998,8.0928e-05,0.00023266
464,0.0001182,0.00031437,9.1908e-05,0.00024442
466,0.00013696,0.00033016,0.00010805,0.00025468
468,0.00016287,0.00034888,0.00013066,0.00026596
470,0.00018004,0.00034179,0.00014847,0.00025772
472,0.00019731,0.00032846,0.00016463,0.00024234
474,0.00021151,0.00030966,0.00017833,0.00022416
476,0.00021873,0.00028699,0.00018682,0.00020172
478,0.00023128,0.00026802,0.0001984,0.0001848
480,0.00025371,0.00026387,0.00022006,0.00018097
482,0.00028019,0.00026892,0.00024306,0.00018112
484,0.00028914,0.00026863,0.00025214,0.00017835
486,0.00029267,0.00026368,0.00025398,0.00017375
488,0.00030564,0.00026606,0.00026278,0.00017336
490,0.00036309,0.00028062,0.00029478,0.00018301
492,0.00053498,0.00030988,0.00038642,0.00020183
494,0.00097033,0.00035302,0.0006577,0.00023414
496,0.0016568,0.00041187,0.0011867,0.00028218
498,0.0024686,0.00048409,0.001936,0.00034934
500,0.0032225,0.00056054,0.0027302,0.00042432
502,0.0037907,0.0006316,0.0033802,0.0004901
504,0.0041516,0.00068478,0.0038152,0.00054126
506,0.0043389,0.00072545,0.0040738,0.00057752
508,0.0043605,0.00076572,0.0041664,0.00060076
510,0.0041222,0.00077598,0.0040062,0.00060768
512,0.0034562,0.00075886,0.0034572,0.00058844
514,0.0023785,0.00070761,0.0025172,0.00054594
516,0.0012849,0.00065392,0.0014671,0.00049616
518,0.00057329,0.00062644,0.00066484,0.00046506
520,0.00032207,0.00062318,0.00032826,0.00046196
522,0.00026185,0.00063641,0.00023824,0.00047148
524,0.00025122,0.00065766,0.00021822,0.00048602
526,0.00024913,0.00067425,0.00021434,0.00050048
528,0.00025026,0.00069607,0.00021364,0.00051712
530,0.0002528,0.00072004,0.00021338,0.00053416
532,0.00025456,0.0007376,0.00021366,0.00054786
534,0.00025638,0.00075824,0.00021456,0.0005619
536,0.00025894,0.00078324,0.000215,0.00057632
538,0.00026106,0.0008089,0.00021544,0.00059242
540,0.00026624,0.00083885,0.00021642,0.00061236
542,0.00026997,0.00086729,0.00021776,0.00063388
544,0.0002726,0.00089396,0.00021804,0.00065442
546,0.00027663,0.00092745,0.00021796,0.00067618
548,0.00028058,0.00096286,0.00021846,0.00070074
550,0.00028293,0.0010007,0.0002192,0.00072712
552,0.00028654,0.0010538,0.00021966,0.00076442
554,0.00029114,0.0011826,0.00022064,0.00085178
556,0.00029366,0.0015423,0.0002217,0.0011103
558,0.00029593,0.0024364,0.00022314,0.0018062
560,0.0002982,0.0040797,0.00022524,0.0032074
562,0.00030045,0.0064304,0.00022784,0.0053622
564,0.0003063,0.0095585,0.0002312,0.008314
566,0.00030989,0.01282,0.00023538,0.011269
568,0.00031333,0.016177,0.00024054,0.014194
570,0.0003193,0.019594,0.00024662,0.017077
572,0.00032691,0.022987,0.00025546,0.01981
574,0.00034404,0.026139,0.00027378,0.022284
576,0.00038469,0.028184,0.00031522,0.02416
578,0.00045829,0.028781,0.00038754,0.025264
580,0.00058243,0.028823,0.00050912,0.025858
582,0.00078791,0.028714,0.00069878,0.026042
584,0.0010964,0.028302,0.00097394,0.025916
586,0.0015607,0.027655,0.0014002,0.025424
588,0.002086,0.027045,0.0018738,0.024816
590,0.0027171,0.026124,0.0024156,0.02405
592,0.0034358,0.025144,0.0030224,0.02317
594,0.0042196,0.024088,0.003675,0.022194
596,0.0050829,0.022512,0.0044036,0.020972
598,0.0056938,0.02088,0.0049894,0.019681
600,0.0059622,0.018962,0.005348,0.018123
602,0.0059237,0.01667,0.005412,0.016159
604,0.0056546,0.014327,0.0051754,0.013848
606,0.0050901,0.011658,0.0046422,0.011167
608,0.0043566,0.0090636,0.0039688,0.0086896
610,0.0035608,0.0068255,0.0032202,0.0064814
612,0.0026213,0.0047246,0.002401,0.0044788
614,0.0016795,0.0028474,0.0016036,0.0027698
616,0.0010192,0.0015541,0.00096532,0.0014812
618,0.00080294,0.001072,0.00068798,0.00089146
620,0.00091562,0.0010692,0.00070462,0.00078548
622,0.0013406,0.0014038,0.00098522,0.00099594
624,0.0020961,0.0020398,0.0015766,0.001513
626,0.0032298,0.0030153,0.0025642,0.0024074
628,0.0044789,0.0041043,0.0036934,0.0034458
630,0.0057137,0.0051909,0.0047888,0.0044662
632,0.0068941,0.0062452,0.0058324,0.0054456
634,0.0079434,0.007189,0.006785,0.006337
636,0.0087914,0.0079552,0.0076304,0.0071028
638,0.0090382,0.0081934,0.0080716,0.0074376
640,0.0086361,0.0078549,0.008013,0.0072796
642,0.0077403,0.0070733,0.0074332,0.0066712
644,0.0066212,0.0060742,0.0064828,0.0057858
646,0.0052727,0.0048639,0.0052198,0.0046724
648,0.0040952,0.0037864,0.0040966,0.0036724
650,0.0030204,0.0028027,0.0030454,0.002727
652,0.0020505,0.0019057,0.0020867,0.0018569
654,0.0012433,0.0011594,0.001278,0.0011146
656,0.00070239,0.00066183,0.0006917,0.00057474
658,0.00049948,0.00047242,0.00044798,0.00034884
660,0.00042218,0.00039288,0.00035444,0.00026186
662,0.00039763,0.00036476,0.00032214,0.0002309
664,0.00038123,0.00035042,0.0003049,0.00021419
666,0.00037299,0.00034701,0.00029116,0.00020494
668,0.0003624,0.0003331,0.00027938,0.00019967
670,0.00035259,0.00032793,0.00026858,0.00019526
672,0.00034094,0.00032887,0.00025534,0.00019034
674,0.00032385,0.0003334,0.00024076,0.00018835
676,0.0003074,0.00033237,0.00022508,0.00018332
678,0.00029038,0.00033988,0.00021032,0.00018466
680,0.00027571,0.0003589,0.0001974,0.00018675
682,0.00026252,0.00036341,0.00018798,0.00019289
684,0.00024062,0.0003728,0.00017422,0.00019837
686,0.00022203,0.00039372,0.00015715,0.00020456
688,0.00020337,0.00039599,0.00014042,0.00021003
690,0.00018677,0.00039055,0.00012507,0.00020966
692,0.00016587,0.00039756,0.00011079,0.00020897
694,0.00014963,0.00039244,9.9592e-05,0.0002091
696,0.0001373,0.00037919,8.9874e-05,0.00021027
698,0.00012954,0.00037732,8.1866e-05,0.00021048
700,0.00011595,0.00038048,7.7758e-05,0.00021179
702,0.00011358,0.0003724,7.383e-05,0.0002104
704,0.00010736,0.00036537,7.0548e-05,0.00020713
706,0.00010207,0.00035055,6.9378e-05,0.00020998
708,0.00010281,0.00035453,6.915e-05,0.00020801
710,0.00010003,0.00036234,6.694e-05,0.00021003
712,9.8517e-05,0.00034182,6.4896e-05,0.0002024
714,9.3423e-05,0.00032913,6.183e-05,0.00019749
716,8.5709e-05,0.00030168,5.834e-05,0.0001893
718,7.8824e-05,0.00028558,5.0804e-05,0.00017275
720,7e-05,0.00027119,4.6394e-05,0.00016047
722,6.5859e-05,0.00024028,4.053e-05,0.00014373
724,6.3961e-05,0.00021568,3.5934e-05,0.00013039
726,6.1349e-05,0.00020136,3.2492e-05,0.00011591
728,5.9353e-05,0.00017449,2.8992e-05,9.5786e-05
730,6.41e-05,0.00016208,2.959e-05,9.1854e-05
732,5.7887e-05,0.00013334,2.8164e-05,9.1036e-05
734,5.6868e-05,0.00012552,3.0622e-05,8.6476e-05
736,5.4827e-05,0.00011276,3.0946e-05,8.4296e-05
738,5.9567e-05,0.00010446,3.017e-05,8.039e-05
740,5.8307e-05,9.0355e-05,3.1015e-05,7.3955e-05
742,5.5833e-05,8.625e-05,3.2048e-05,6.7883e-05
744,4.9705e-05,8.2558e-05,3.0509e-05,6.6081e-05
746,5.4501e-05,9.2118e-05,3.1455e-05,5.7596e-05
748,4.3014e-05,6.8585e-05,3.0216e-05,5.6469e-05
750,4.2084e-05,6.3195e-05,3.2222e-05,5.9148e-05
752,3.4999e-05,8.0961e-05,3.4338e-05,5.3497e-05
754,2.8516e-05,5.7299e-05,3.2592e-05,5.306e-05
756,3.1724e-05,6.4034e-05,3.4733e-05,4.9458e-05
758,2.9499e-05,5.481e-05,3.604e-05,5.0488e-05
760,2.9719e-05,5.3563e-05,3.7274e-05,5.5996e-05
762,4.4704e-05,6.6213e-05,3.9037e-05,6.6537e-05
764,4.7479e-05,8.7498e-05,4.2889e-05,6.1824e-05
766,4.1918e-05,6.2344e-05,4.388e-05,6.632e-05
768,2.9838e-05,7.3865e-05,4.3155e-05,6.782e-05
770,4.6798e-05,0.0001028,4.1518e-05,7.1019e-05
772,4.3473e-05,0.00012243,4.3295e-05,8.6496e-05
774,3.8142e-05,0.00011119,4.1782e-05,9.1688e-05
776,4.8732e-05,0.00012847,4.6247e-05,0.00010805
778,5.5142e-05,0.00012798,4.8631e-05,0.00014128
780,6.2903e-05,0.00014905,4.5625e-05,0.00014627
